code,name,date,quarter,rank,surprise,company_forecast,rc1,rc2,rc3,narrative,judge,buy_condition,exit_condition,memo,prev_close,next_open,next_close,d5_close,d20_close,gap,ret_d1,ret_d5,ret_d20,shodo,reaction,result,error_type,review_note
4441,トビラシステムズ,2026-06-10,2Q,B,0,維持,segment_growth,margin_pressure,,整合,押し目待ち,"1,150〜1,180円で下げ渋り+出来高増。または決算後高値から5〜10%調整し25日線で下げ止まり","翌日1,230円超で急騰したら追わない。出来高を伴わない戻りは無効",売上+22.0%・営利-7.7%。ソリューション事業が売上+69%/利益+133.9%と急成長。全社費用増による減益。通期据え置き,1230.0,1240.0,1265.0,1386.0,1417.0,0.0081,0.0285,0.1268,0.152,フラット,フラット,,,
5032,ANYCOLOR,2026-06-10,4Q/本決算,C+,-1,新規/未開示,guidance_weak,dividend_cut,low_per_value,衝突,監視,"2,800円割れで売り止まり→2,900円回復で再評価。需給悪化収束+出来高増の反転","2,700円台前半まで崩れたら安値更新リスク優先で除外",FY26実績は売上+29.9%/営利+23.9%とA級。だが来期営利180〜200億は減益レンジ、配当75→62円に減配見通し。PER11〜12倍台,2875.0,2375.0,2375.0,2264.0,2437.0,-0.1739,-0.1739,-0.2125,-0.1523,GD,GD継続,,,
5132,pluszero,2026-06-10,2Q,C,-1,維持,theme_ai,growth_slowdown,,衝突,監視,"1,350〜1,400円で底打ち型の値動き+出来高増なら短期反発候補",出来高を伴わない戻りは見送り継続,売上+6.8%/営利+7.5%。増収増益だが高成長AI株として物足りない。52週安値圏。テーマ性vs個別成長鈍化の衝突,1398.0,1347.0,1558.0,1917.0,1897.0,-0.0365,0.1144,0.3712,0.3569,GD,GD反発,,,
9166,GENDA,2026-06-10,1Q,D,-2,維持,ma_rollup_risk,pts_negative,margin_pressure,整合,見送り,500円近辺で下げ止まり確認+出来高ピークアウト+陽線転換まで不可,翌日も大陰線なら除外。調整後指標依存が解消しない限り格上げしない,売上+45.0%だが営利-79.2%、最終赤字7.52億。PTSで-15.25%急落。M&A主導成長の利益創出力が未確認,592.0,502.0,532.0,581.0,570.0,-0.152,-0.1014,-0.0186,-0.0372,GD,GD反発,,,
186A,アストロスケールホールディングス,2026-06-12,本決算,B+,0,維持,growth_slowdown,priced_in,special_factor,中立,監視,発表後の株価反応と出来高の確認でエントリーを検討,ガイダンス維持でも株価が弱いままなら撤退,前回は増収赤縮。今回は本決算で、利益改善の兆しが要注意,1905.0,1676.0,1505.0,1198.0,1095.0,-0.1202,-0.21,-0.3711,-0.4252,GD,GD継続,,,
2695,くら寿司,2026-06-12,第２四半期,A,+1,維持,segment_growth,margin_pressure,,整合,押し目待ち,発表後の押し目で、出来高ともに反発あれば検討,売上減やガイダンス下方化なら見送り,前回Qは増収増益。今回も堅調な成長継続期待,1639.0,1540.0,1550.0,1548.0,1590.0,-0.0604,-0.0543,-0.0555,-0.0299,GD,GD反発,,,
3038,神戸物産,2026-06-12,第２四半期,A,+1,維持,segment_growth,low_per_value,,整合,押し目待ち,決算発表後反応鈍くても押し目を待ってエントリー検討,売上横這いや利益悪化なら撤退,前回は増収減益。今回は増収基調が期待される,2715.5,2565.5,2606.5,2537.0,2638.0,-0.0552,-0.0401,-0.0657,-0.0285,GD,GD反発,,,
6966,三井ハイテック,2026-06-12,第２四半期,B+,0,維持,growth_slowdown,margin_pressure,,中立,監視,市場反応見て出来高増伴い反発なら検討,ガイダンス維持でも株価停滞なら見送り,前回不明増減。今回堅調なら好材料,808.0,958.0,958.0,1200.0,977.0,0.1856,0.1856,0.4851,0.2092,GU,GU継続,,,
3480,ジェイ・エス・ビー,2026-06-12,本決算,B,0,維持,priced_in,narrative_conflict,,中立,監視,PTSや市場評価次第で検討,ガイダンス鈍化なら見送り,成長見通しが織り込まれている可能性,6930.0,7930.0,7930.0,8980.0,8990.0,0.1443,0.1443,0.2958,0.2973,GU,GU継続,,,
4996,クミアイ化学工業,2026-06-12,本決算,A,+2,上方修正,segment_growth,low_per_value,,整合,即買い候補,発表直後のギャップアップと出来高増を確認後,翌日株価急落や材料出尽くし感あれば撤退,前回不明。今回は業績上方修正で驚き材料,725.0,740.0,746.0,728.0,723.0,0.0207,0.029,0.0041,-0.0028,GU,GU継続,,,
