evidence_id,related_entity_type,related_entity_id,source_name,source_type,source_url,source_title,publisher,published_at,observed_at,recorded_at,as_of_datetime,evidence_summary,raw_excerpt,reliability_score,verified_status,used_for_score,score_component,created_by,notes
EVD-ASTER-SNS-001,pre_earnings_baseline,BASE-ASTER-001,Fictional Social Heat Index,sns,,Aster Cloud retail attention snapshot,Fictional Research Desk,2026-08-07T13:30:00+09:00,2026-08-07T14:00:00+09:00,2026-08-07T16:50:00+09:00,2026-08-07T17:00:00+09:00,Retail attention was high relative to verified operating evidence.,Synthetic aggregate only; no real posts stored.,35,unverified,true,meme_overheat_penalty,Codex Research,SNS is used as overheat context rather than factual verification.
EVD-HOKUTO-IR-001,pre_earnings_baseline,BASE-HOKUTO-001,Fictional Company IR,company_ir,https://example.invalid/ir/hokuto/orders,Hokuto order trend update,Hokuto Precision Components,2026-08-04T12:00:00+09:00,2026-08-04T12:30:00+09:00,2026-08-04T16:00:00+09:00,2026-08-04T17:00:00+09:00,Management commentary indicated stable factory automation demand.,Fictional excerpt for sample validation only.,82,verified,true,peer_trend_score,Codex Research,Official-style source but fictional.
EVD-MINATO-MONTHLY-001,pre_earnings_baseline,BASE-MINATO-001,Fictional Monthly Sales,company_ir,https://example.invalid/ir/minato/monthly,Minato same-store sales note,Minato Legacy Retail,2026-08-11T11:00:00+09:00,2026-08-11T11:30:00+09:00,2026-08-11T16:10:00+09:00,2026-08-11T17:00:00+09:00,Same-store sales and traffic remained weak before earnings.,Fictional excerpt for sample validation only.,80,verified,true,value_trap_penalty,Codex Research,Industry KPI evidence for retail value-trap risk.
EVD-MINATO-POST-001,post_earnings_review,REV-MINATO-001,Fictional Post Review,post_event_review,,Minato post-event inventory write-down review,Codex Research,2026-08-13T08:30:00+09:00,2026-08-13T08:35:00+09:00,2026-08-13T09:15:00+09:00,2026-08-13T09:00:00+09:00,Post-event review evidence is intentionally not available to the pre-event score.,Post-event interpretation sample.,70,partially_verified,false,,Codex Research,Allowed as post-review evidence only.
EVD-TSO-HOKUTO-001,tso_snapshot,TSO-HOKUTO-001,Fictional TSO Export,tso_log,external/tso_log_20260804.csv,Hokuto external TSO snapshot,Tactical Swing OS,2026-08-04T15:00:00+09:00,2026-08-04T15:00:00+09:00,2026-08-04T18:10:00+09:00,2026-08-04T15:00:00+09:00,External TSO snapshot captured without modifying source row.,source_row_hash=hash_tso_hokuto_001,65,verified,false,,Codex Research,"TSO context is stored as source lineage, not native ERS scoring truth."
EVD-KISARAGI-ORDER-001,pre_earnings_baseline,BASE-KISARAGI-001,Fictional Order Backlog Note,company_ir,https://example.invalid/ir/kisaragi/orders,Kisaragi pre-announcement order backlog note,Kisaragi Robotics,2026-09-10T11:30:00+09:00,2026-09-10T11:45:00+09:00,2026-09-10T12:20:00+09:00,2026-09-10T12:30:00+09:00,Order backlog was already improving before the 13:00 upward revision.,Synthetic company IR note.,82,verified,true,peer_trend_score,Codex Research,Pre-event evidence for intraday case.
EVD-KISARAGI-POST-001,post_earnings_review,REV-KISARAGI-001,Fictional Intraday Market Note,news,,Kisaragi shares react immediately after 13:00 revision,Fictional News Desk,2026-09-10T13:12:00+09:00,2026-09-10T13:15:00+09:00,2026-09-10T13:30:00+09:00,2026-09-10T13:15:00+09:00,Post-announcement article describes the intraday price jump.,Post-event article sample.,55,partially_verified,false,,Codex Research,Must not be used by pre-event score.
EVD-NOZOMI-CROWD-001,pre_earnings_baseline,BASE-NOZOMI-001,Fictional Crowd Sentiment Composite,sns,,Nozomi bullish crowding snapshot,Fictional Research Desk,2026-09-11T13:20:00+09:00,2026-09-11T13:40:00+09:00,2026-09-11T16:30:00+09:00,2026-09-11T17:00:00+09:00,SNS and message-board tone was one-sided bullish before earnings.,Synthetic aggregate only; no real posts stored.,32,unverified,true,meme_overheat_penalty,Codex Research,Used as overheat and imbalance evidence.
EVD-NOZOMI-CREDIT-001,pre_earnings_baseline,BASE-NOZOMI-001,Fictional Margin Balance,margin_short_data,https://example.invalid/reference/nozomi/margin,Nozomi margin buying balance note,Fictional Data Vendor,2026-09-11T12:00:00+09:00,2026-09-11T12:10:00+09:00,2026-09-11T16:35:00+09:00,2026-09-11T17:00:00+09:00,Margin buying balance was heavy despite a sharp pre-event rally.,Synthetic vendor note.,58,partially_verified,true,credit_supply_score,Codex Research,Terms review required before real vendor automation.
EVD-NOZOMI-POST-001,post_earnings_review,REV-NOZOMI-001,Fictional Sell The News Review,post_event_review,,Nozomi post-event sell-the-news review,Codex Research,2026-09-13T08:30:00+09:00,2026-09-13T08:35:00+09:00,2026-09-13T09:10:00+09:00,2026-09-13T09:00:00+09:00,Post-event review says actual results beat but expectations were too high.,Post-event interpretation sample.,72,partially_verified,false,,Codex Research,Test fixture source for pre-score leakage checks.
EVD-SHIZUKU-CF-001,pre_earnings_baseline,BASE-SHIZUKU-001,Fictional Cash Flow Review,company_ir,https://example.invalid/ir/shizuku/cashflow,Shizuku operating cash flow and inventory note,Shizuku Household Materials,2026-09-15T12:20:00+09:00,2026-09-15T12:40:00+09:00,2026-09-15T16:00:00+09:00,2026-09-15T17:00:00+09:00,Operating cash flow weakened while inventory and receivables increased.,Synthetic company IR note.,78,verified,true,value_trap_penalty,Codex Research,Separates observed balance-sheet concern from analyst conclusion.
EVD-SHIZUKU-SECTOR-001,pre_earnings_baseline,BASE-SHIZUKU-001,Fictional Customer Sector Note,news,,Private-label customer demand softens,Fictional News Desk,2026-09-15T10:20:00+09:00,2026-09-15T10:30:00+09:00,2026-09-15T15:45:00+09:00,2026-09-15T17:00:00+09:00,Customer-sector demand appeared weaker before the full-year announcement.,Synthetic news summary.,52,partially_verified,true,customer_industry_score,Codex Research,Source is not official and must not be over-weighted.
