event_status_record_id,earnings_event_id,event_status,scheduled_at,previous_scheduled_at,status_recorded_at,occurred_at,status_reason,supersedes_status_record_id,replacement_event_id
EVST-ASTER-001,EVT-ASTER-2026Q1,scheduled,2026-08-08T15:30:00+09:00,,2026-07-01T09:10:00+09:00,,,,
EVST-ASTER-002,EVT-ASTER-2026Q1,occurred,2026-08-08T15:30:00+09:00,,2026-08-08T15:35:00+09:00,2026-08-08T15:30:00+09:00,Official disclosure confirmed,EVST-ASTER-001,
EVST-HOKUTO-001,EVT-HOKUTO-2026Q1,scheduled,2026-08-05T12:30:00+09:00,,2026-07-01T09:10:00+09:00,,,,
EVST-HOKUTO-002,EVT-HOKUTO-2026Q1,occurred,2026-08-05T12:30:00+09:00,,2026-08-05T12:35:00+09:00,2026-08-05T12:30:00+09:00,Official disclosure confirmed,EVST-HOKUTO-001,
EVST-MINATO-001,EVT-MINATO-2026Q2,scheduled,2026-08-12T15:00:00+09:00,,2026-07-01T09:10:00+09:00,,,,
EVST-MINATO-002,EVT-MINATO-2026Q2,occurred,2026-08-12T15:00:00+09:00,,2026-08-12T15:05:00+09:00,2026-08-12T15:00:00+09:00,Official disclosure confirmed,EVST-MINATO-001,
EVST-KISARAGI-001,EVT-KISARAGI-2026REV,scheduled,2026-09-10T13:00:00+09:00,,2026-07-19T09:10:00+09:00,,,,
EVST-KISARAGI-002,EVT-KISARAGI-2026REV,occurred,2026-09-10T13:00:00+09:00,,2026-09-10T13:05:00+09:00,2026-09-10T13:00:00+09:00,Official disclosure confirmed,EVST-KISARAGI-001,
EVST-NOZOMI-001,EVT-NOZOMI-2026Q2,scheduled,2026-09-12T15:30:00+09:00,,2026-07-19T09:10:00+09:00,,,,
EVST-NOZOMI-002,EVT-NOZOMI-2026Q2,occurred,2026-09-12T15:30:00+09:00,,2026-09-12T15:35:00+09:00,2026-09-12T15:30:00+09:00,Official disclosure confirmed,EVST-NOZOMI-001,
EVST-SHIZUKU-001,EVT-SHIZUKU-2026FY,scheduled,2026-09-16T08:30:00+09:00,,2026-07-19T09:10:00+09:00,,,,
EVST-SHIZUKU-002,EVT-SHIZUKU-2026FY,occurred,2026-09-16T08:30:00+09:00,,2026-09-16T08:35:00+09:00,2026-09-16T08:30:00+09:00,Official disclosure confirmed,EVST-SHIZUKU-001,
